Entity Label,RANKING
Ebola,0.8
Sierra Leone,0.7
Samuel Sam-Sumana,0.7
Ernest Bai Koroma,0.6
All People's Congress,0.4
quarantine,0.4
Freetown,0.4
John Koroma,0.4
Centers for Disease Control and Prevention,0.3
Guinea,0.2
World Health Organization,0.2
Liberia,0.1
Save the Children,0.1
Sam Kahamba Kutesa,-0.1
Africa,-0.3
fever,-0.5
