Entity Label,RANKING
bond,0.8
Zimbabwe,0.6
Harare,0.5
Labour & Economic Development Research Institute of Zimbabwe ,0.5
Africa,0.4
John Mangudya,0.4
Central Bank,0.3
Spar Supermarket,-0.8
Prosper Chitambara,-0.8
