Entity Label,RANKING
NASA,0.7
Spacecraft,0.6
Utah,0.5
United Launch Alliance,0.5
Charles Precourt,0.5
Charlie Bolden,0.3
Kingston University,0.2
Orbital ATK,0.2
Marshall Space Flight Center,0.1
Adan Baker,0.1
Scott Kelly,-0.3
