Entity Label,RANKING
Arctic,0.8
Shell,0.6
Alaska,0.6
Energy information Administration,0.5
Statoil,0.5
Lukoil,0.4
Russia,0.4
Rosneft,0.4
ExxonMobil,0.4
Johan Sverdrup,0.4
Environmental Protection Agency,0.3
Canada,0.3
Gazprom,0.3
Pemex,0.3
Ben Van Beurden,0.3
Liv Hovern,0.3
Organisation for Economic Co-operation and Development,0.2
Greenland,0.2
Oslo,0.1
DNV GL Oil & Gas,-0.2
