Entity Label,RANKING
Ukraine,0.7
Moscow,0.6
Kiev,0.6
Russia,0.5
Vladimir Putin,0.5
Western airlines,0.5
Crimea,0.4
Sergei Lavrov,0.4
EU,0.3
Jose Manuel Barroso,0.3
Black Sea Fleet,0.2
Medvedev,0.1
North Atlantic Treaty Organization,0.1
Sevastopol,0.1
Mariupol,0
Kremlin,-0.1
Donetsk,-0.1
Donets Bassin,-0.2
