Entity Label,RANKING
Stuart Little,0.8
Sleeping Lady with Black Vase,0.8
Robert Bereny,0.7
Gergely Berki,0.6
Hollywood,0.4
Hungarian National Gallery,0.4
Budapest,0.4
Budapest Congress Centre,0.4
Hungary,0.3
Hugh Laurie,0.2
Trisha Yearwood,-0.4
