Entity Label,RANKING
Stephen Hawking,0.8
Eddie Redmayne,0.6
Jane Wilde Hawking,0.6
Felicity Jones,0.5
Benedict Cumberbatch,0.4
Charlie Cox,0.4
Emily Watson,0.4
Harry Lloyd,0.4
Newnham College,0.3
David Thewlis,0.3
Simon McBurney,0.3
Cambridge University,0.2
Universal,0.1
JÑhann JÑhannsson,0.1
Pinewood Studios,-0.1
Eric Fellner,-0.1
Kip Thorne,-0.2
Tom Prior,-0.3
Art Directors Guild,-0.4
scientist,-0.5
