Entity Label,RANKING
COP20,0.9
Manuel Pulgar Vidal,0.5
Christiana Figueres,0.5
Edward Davey,0.4
Peru,0.4
Intergovernmental Panel on Climate Change,0.4
Lima,0.3
United Nations,0.3
John Kerry,0.3
James Hansen,0.3
Mar’a Luisa Silva,0.3
Greenpeace,0.2
Union of Concerned Scientists,0.2
Ban Ki-moon,0.1
Arctic,0
