Entity Label,RANKING
HSBC,0.8
Lord Green,0.6
HM Revenue & Customs,0.5
Herve Falciani,0.5
David Cameron,0.5
International Consortium of Investigative Journalists,0.4
David Gauke,0.4
Richard Brooks,0.4
Shabana Mahmood,0.4
Ed Balls,0.4
Margaret Hodge,0.3
Internal Revenue Service,0.3
HM Treasury,0.2
Labour,0.1
tories,0
House of Commons,0
France,-0.3
Bashar al-Assad,-0.5
Westminster,-0.6
Rachid Mohamed Rachid,-0.6
Valentino Rossi,-0.7
Bahrain,-0.9
