Entity Label,RANKING
Muslim Brotherhood,0.441176471
Mohamed Morsi,0.352941176
Islamist Nour Party,0.323529412
Arab Spring,0.264705882
Egypt opposition alliance,0.235294118
Abdul Fattah Sisi,0.088235294
Hosni Mubarak,-0.029411765
Adly Mansour,-0.176470588
Tahrir Square,-0.235294118
Mohamed ElBaradei,-0.235294118
Supreme Constitutional Court,-0.294117647
Egypt,-0.352941176
Cairo,-0.470588235
Cairo University,-0.470588235
Nasr,-0.529411765
Jeremy Bowen,-0.705882353
Nisha Pilla,-0.882352941
