ENTITY, TYPE, URL
Liv Hovern, PER, - 
DNV GL Oil & Gas, ORG, http://en.wikipedia.org/wiki/DNV_GL
Ben Van Beurden, PER, http://en.wikipedia.org/wiki/Ben_van_Beurden
Shell, ORG, http://en.wikipedia.org/wiki/Royal_Dutch_Shell
