ENTITY, TYPE, URL
HSBC, ORG, http://en.wikipedia.org/wiki/HSBC
France, GPE, http://en.wikipedia.org/wiki/France
Lord Green, PER, http://en.wikipedia.org/wiki/Stephen_Green,_Baron_Green_of_Hurstpierpoint
Shabana Mahmood, PER, http://en.wikipedia.org/wiki/Shabana_Mahmood
David Gauke, PER, http://en.wikipedia.org/wiki/David_Gauke
Margaret Hodge, PER, http://en.wikipedia.org/wiki/Margaret_Hodge
