ENTITY,TYPE, URL
Lima, GPE, http://en.wikipedia.org/wiki/Lima
COP20, - , http://en.wikipedia.org/wiki/2014_United_Nations_Climate_Change_Conference
Edward Davey, PER, http://en.wikipedia.org/wiki/Edward_Davey

