ENTITY, TYPE, URL
Ashraf Ghani, PER, http://en.wikipedia.org/wiki/Mohammad_Ashraf_Ghani
Afghanistan, GPE,  http://en.wikipedia.org/wiki/Afghanistan
Frank-Walter Steinmeier, PER, http://en.wikipedia.org/wiki/Frank-Walter_Steinmeier
