ENTITY, TYPE, URL
Luz Elena Álvarez, PER, -
Regina, PER, -
Guadalajara, GPE, http://es.wikipedia.org/wiki/Guadalajara_%28M%C3%A9xico%29
Mexico, GPE, http://en.wikipedia.org/wiki/Mexico
Dr. Yukiro Nakashima, PER, -
Civil Hospital of Guadalajara, ORG, http://es.wikipedia.org/wiki/Hospital_Civil_de_Guadalajara
DR Juan Hernández Rocha, PER, -
Diederik Lohman, PER, 
