ENTITY, TYPE, URL
One Direction, ORG, http://en.wikipedia.org/wiki/One_Direction
Sony, ORG, http://en.wikipedia.org/wiki/Sony
Ed Sheeran, PER, http://en.wikipedia.org/wiki/Ed_Sheeran
Asylum Records, ORG, http://en.wikipedia.org/wiki/Asylum_Records
Emeli Sande, PER, http://en.wikipedia.org/wiki/Emeli_Sand%C3%A9
EMI, ORG, http://en.wikipedia.org/wiki/EMI
Bob Geldof, PER, http://en.wikipedia.org/wiki/Bob_Geldof
Greg Cochrane, PER, -
