Entity Label,RANKING,
Arctic,0.8,
Lukoil,0.4,
Russia,0.4,
Environmental Protection Agency,0.3,
Rosneft,0.4,
Shell,0.6,
Alaska,0.6,
Canada,0.3,
Energy information Administration,0.5,
ExxonMobil,0.4,
Organisation for Economic Co-operation and Development,0.2,
Statoil,0.5,
Greenland,0.2,
Gazprom,0.3,
Johan Sverdrup,0.4,
Pemex,0.3,
Oslo,0.1,
Ben Van Beurden,0.3,shel chief executive
Liv Hovern,0.3,Director DNV
DNV GL Oil & Gas,-0.2,
