Entity Label,RANKING,
Stuart Little,0.8,
Hollywood,0.4,
Hugh Laurie,0.2,
Hungary,0.3,
Robert Bereny,0.7,
Trisha Yearwood,-0.4,soundtrack of the movie
Hungarian National Gallery,0.4,
Gergely Berki,0.6,
Budapest,0.4,
Sleeping Lady with Black Vase,0.8,
Budapest Congress Centre,0.4,
