Entity Label,RANKING,
Stephen Hawking,0.8,
Eddie Redmayne,0.6,
Cambridge University,0.2,
Felicity Jones,0.5,
Benedict Cumberbatch,0.4,
Jane Wilde Hawking,0.6,
Charlie Cox,0.4,
scientist,-0.5,
Newnham College,0.3,
Art Directors Guild,-0.4,Awards
David Thewlis,0.3,
Pinewood Studios,-0.1,studio
Emily Watson,0.4,Actress
Harry Lloyd,0.4,
Universal,0.1,
Eric Fellner,-0.1,
Simon McBurney,0.3,
J—hann J—hannsson,0.1,music
Kip Thorne,-0.2,
Tom Prior,-0.3,
