Entity Label,RANKING,
Russia,0.5,
EU,0.3,
Vladimir Putin,0.5,
Ukraine,0.7,
Moscow,0.6,
Western airlines,0.5,
Kiev,0.6,
Crimea,0.4,
Medvedev,0.1,
Donets Bassin,-0.2,
North Atlantic Treaty Organization,0.1,
Mariupol,0,
Kremlin,-0.1,
Donetsk,-0.1,
Sevastopol,0.1,
Jose Manuel Barroso,0.3,President of the European Commission
Sergei Lavrov,0.4,Ministro de Asuntos Exteriores de Rusia
Black Sea Fleet,0.2,Flota ucraniana y rusa
