Entity Label,RANKING,
Sierra Leone,0.7,
Ernest Bai Koroma,0.6,president
Samuel Sam-Sumana,0.7,vice president
All People's Congress,0.4,
Ebola,0.8,
quarantine,0.4,
Centers for Disease Control and Prevention,0.3,
Liberia,0.1,
Freetown,0.4,
Sam Kahamba Kutesa,-0.1,president of the sixty-ninth session of the United Nations General Assembly
Save the Children,0.1,
John Koroma,0.4,died Bodyguard
Guinea,0.2,
World Health Organization,0.2,
Africa,-0.3,
fever,-0.5,
