Entity Label,RANKING,
Apple,0.7,
watch,0,
Rolex,0.3,
Thostein Veblen,0.35,Thostein Veblen
Tim Cook,0.2,
Cupertino,0.2,
Christy Turlington Burns,0.4,modelo anunciano esto
Vertu,0.3,
Louis Vuitton,0.1,
Watchtime,0,
Galeries Lafayette,-0.3,
Pebble,0.5,Competencia
Eric Migicovsky,0.4,Ingeniero de la competencia
