Entity Label,RANKING,
NASA,0.7,
Utah,0.5,
United Launch Alliance,0.5,
Kingston University,0.2,
Spacecraft,0.6,
Marshall Space Flight Center,0.1,
Charles Precourt,0.5,
Scott Kelly,-0.3,astronaut
Charlie Bolden,0.3,Nasa director
Adan Baker,0.1,
Orbital ATK,0.2,Company for launch systems
