Entity Label,RANKING
bond,0.8
Africa,0.4
Zimbabwe,0.6
Harare,0.5
Spar Supermarket,-0.8
Central Bank,0.3
Prosper Chitambara,-0.8
John Mangudya,0.4
Labour & Economic Development Research Institute of Zimbabwe ,0.5
