Entity Label,RANKING,appearancesVideo,appearancesDocuments,maxExtractorRelevance,URI
Tokyo Electric Power Company,1.0,5,237,1.91924,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tokyo_Electric_Power_Company
Fukushima Daiichi nuclear disaster,0.8326848249027238,3,202,0.9278,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Fukushima_Daiichi_nuclear_disaster
Japan,0.4357976653696498,1,108,0.8429,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Japan
Pacific Ocean,0.22568093385214008,1,54,0.8542,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Pacific_Ocean
plant,0.11673151750972763,5,10,0.158657,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Plant
highly radioactive,0.10894941634241245,4,12,0.633487,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Radiation_effects_from_the_Fukushima_Daiichi_nuclear_disaster
Obama Administration,0.10505836575875487,0,27,0.7575,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Barack_Obama
Fukushima Prefecture,0.0933852140077821,0,24,0.9347,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Fukushima_Prefecture
reactor,0.058365758754863814,3,3,0.229079,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Nuclear_reactor
BBC News,0.042801556420233464,2,3,0.8198,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/BBC_News
steam,0.038910505836575876,2,2,0.283484,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Steam
Nuclear Regulatory Commission,0.038910505836575876,0,10,1.7036,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Nuclear_Regulatory_Commission
Liberal Democratic Party,0.038910505836575876,0,10,1.05795,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Liberal_Democratic_Party_(Japan)
concern,0.03501945525291829,2,1,0.0590193,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Concern_Worldwide
Iran,0.03501945525291829,0,9,0.8755,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Iran
Congress,0.0311284046692607,1,4,0.6882,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/United_States_Congress
Number three,0.0311284046692607,2,0,0.00404835,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/3_%28number%29
officials,0.0311284046692607,2,0,0.0653932,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Official
Gitmo,0.0311284046692607,0,8,0.8335,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Guantanamo_Bay_detention_camp
Syria,0.0311284046692607,0,8,0.8633,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/Syria
Japanese government,0.027237354085603113,1,3,0.131398,http://nerd.eurecom.fr/ontology#Thing,http://dbpedia.org/resource/Government_of_Japan
Tokyo University of Marine Science and Technology,0.027237354085603113,1,3,0.8801,http://nerd.eurecom.fr/ontology#Organization,http://dbpedia.org/resource/Tokyo_University_of_Marine_Science_and_Technology
Shinzo Abe,0.027237354085603113,0,7,0.941,http://nerd.eurecom.fr/ontology#Person,http://dbpedia.org/resource/Shinz%C5%8D_Abe
California,0.027237354085603113,0,7,0.766,http://nerd.eurecom.fr/ontology#Location,http://dbpedia.org/resource/California
