Entity Label,RANKING
Fukushima Daiichi,0.5
TEPCO,0.476190476
Reactor building no 3,0.404761905
Nuclear Regulation Authority,0.142857143
Pacific Ocean,-0.357142857
United States Nuclear Regulatory Commission,-0.357142857
Japan,-0.380952381
Naomi Hirose,-0.476190476
Tokyo,-0.5
Shunichi Tanaka,-0.523809524
Shinzo Abe,-0.547619048
Rupert Wingfield-Hayes,-0.785714286
TV Tokyo,-0.880952381
